timestep	num_particles	ndof	translational_ndof	rotational_ndof	potential_energy	kinetic_energy	translational_kinetic_energy	rotational_kinetic_energy	temperature	pressure	volume
655000	9004	4997	2997	2000	-42781.52598	13177.23893	7952.903383	5224.335545	5.274060007	2.744045768	10786.63263
656000	9004	4997	2997	2000	-42841.17951	13143.53544	7996.134599	5147.400841	5.260570518	2.505976379	10755.62445
657000	9004	4997	2997	2000	-42823.50761	12662.31001	7462.368723	5199.941283	5.067964781	1.832968372	10857.66968
658000	9004	4997	2997	2000	-43078.81313	12957.15957	7966.238334	4990.92124	5.185975415	2.525775572	10724.50556
659000	9004	4997	2997	2000	-43370.62123	13029.83923	7906.51411	5123.325119	5.215064731	3.140401593	10623.61952
660000	9004	4997	2997	2000	-43387.30822	12589.91985	7646.964752	4942.955097	5.038991334	2.592808224	10652.0165
661000	9004	4997	2997	2000	-43490.82127	12200.6321	7402.059844	4798.572252	4.883182748	2.410424589	10727.1235
662000	9004	4997	2997	2000	-43585.54463	12089.54141	7308.441235	4781.10017	4.838719794	2.02151801	10725.27108
663000	9004	4997	2997	2000	-43762.3923	12210.53257	7359.452907	4851.079663	4.887145315	2.263370783	10713.52207
664000	9004	4997	2997	2000	-43353.08099	11959.30583	7128.924192	4830.381642	4.78659429	2.222477392	10679.12864
665000	9004	4997	2997	2000	-43500.83413	12349.71537	7327.025297	5022.690072	4.942851859	2.714270253	10647.35497
666000	9004	4997	2997	2000	-43484.78335	12602.36217	7693.160556	4909.201611	5.043971249	2.356807065	10646.27846
667000	9004	4997	2997	2000	-43363.27544	12803.70057	7670.508452	5133.192113	5.124554959	2.682900524	10639.28275
668000	9004	4997	2997	2000	-42949.33004	12461.81691	7390.076428	5071.740479	4.987719394	2.323058908	10725.00551
669000	9004	4997	2997	2000	-42736.41794	12483.50349	7575.666973	4907.836516	4.996399235	2.532225504	10755.21148
670000	9004	4997	2997	2000	-42805.95458	12828.76095	7686.951892	5141.809059	5.134585131	2.318445255	10784.37446
671000	9004	4997	2997	2000	-42708.4232	12926.75003	7711.815973	5214.934056	5.173804294	2.318762175	10857.34052
672000	9004	4997	2997	2000	-42636.74374	13003.87679	7671.849911	5332.026879	5.20467352	2.039158131	10894.76512
673000	9004	4997	2997	2000	-42794.35484	13382.66212	8211.244769	5171.417349	5.356278614	2.447348882	10837.37918
674000	9004	4997	2997	2000	-42096.77565	12463.56201	7628.002241	4835.559769	4.988417855	2.485954739	10920.08526
675000	9004	4997	2997	2000	-42239.74615	12502.02046	7488.242555	5013.77791	5.003810472	2.157089764	10906.50222
676000	9004	4997	2997	2000	-42424.83082	12522.30925	7698.653894	4823.655353	5.011930857	2.199721494	10851.70428
677000	9004	4997	2997	2000	-42933.54593	12882.04518	7663.769141	5218.276035	5.155911617	2.649632806	10776.7459
678000	9004	4997	2997	2000	-42921.52001	12562.10379	7354.656085	5207.447706	5.027858231	2.760669501	10741.27008
679000	9004	4997	2997	2000	-43127.41238	12370.28649	7499.79816	4870.488334	4.951085249	2.363255913	10770.4876
680000	9004	4997	2997	2000	-43545.43068	12631.89673	7455.058171	5176.838554	5.055792166	2.286727766	10685.1643
681000	9004	4997	2997	2000	-43898.94389	12653.07849	7682.270138	4970.808348	5.064269957	2.058726115	10674.0921
682000	9004	4997	2997	2000	-43927.31009	12590.89185	7521.892797	5068.999052	5.039380368	2.26248276	10603.16144
683000	9004	4997	2997	2000	-43741.99006	12338.7616	7422.345792	4916.415808	4.938467721	2.397775911	10587.34316
684000	9004	4997	2997	2000	-44064.76121	12389.147	7559.341022	4829.805983	4.958633982	2.123087055	10659.47248
685000	9004	4997	2997	2000	-43870.8696	12208.38263	7439.088859	4769.293775	4.886284825	2.007146298	10667.7352
686000	9004	4997	2997	2000	-43905.99452	12250.04155	7467.446897	4782.594656	4.902958396	2.139246208	10713.33379
687000	9004	4997	2997	2000	-43647.18082	12332.01097	7415.770365	4916.240601	4.935765846	2.319032091	10629.26661
688000	9004	4997	2997	2000	-43729.23332	12643.97647	7702.71555	4941.260915	5.060626962	2.688878208	10642.66463
689000	9004	4997	2997	2000	-43394.72876	12458.46767	7460.164321	4998.303349	4.986378895	2.511186401	10705.26122
690000	9004	4997	2997	2000	-43691.72357	13071.69026	7691.74372	5379.946535	5.231815191	2.295028348	10701.93682
691000	9004	4997	2997	2000	-43111.28148	12679.38977	7484.07971	5195.310059	5.074800788	2.229367044	10735.60883
692000	9004	4997	2997	2000	-42629.26453	12345.10558	7523.986093	4821.119485	4.941006836	2.544999886	10766.89884
693000	9004	4997	2997	2000	-43147.93513	12886.55371	7346.541025	5540.012689	5.157716115	2.159633121	10812.62234
694000	9004	4997	2997	2000	-42842.01314	12786.42568	7693.734943	5092.690741	5.117640858	2.409184772	10797.83461
695000	9004	4997	2997	2000	-42540.5273	12533.60857	7408.269266	5125.339307	5.016453301	2.441281787	10841.86717
696000	9004	4997	2997	2000	-42885.67173	12800.47788	7784.925268	5015.55261	5.12326511	1.926750699	10874.14034
697000	9004	4997	2997	2000	-42563.29631	12438.2942	7532.11027	4906.183932	4.978304664	2.529454456	10871.66816
698000	9004	4997	2997	2000	-43166.50276	12935.86453	7729.735269	5206.129259	5.177452283	1.893508204	10840.5872
699000	9004	4997	2997	2000	-43079.40875	12858.88393	7639.067794	5219.81614	5.146641559	2.650684236	10750.06551
700000	9004	4997	2997	2000	-43316.11518	12851.42641	7545.911236	5305.515171	5.143656757	2.297258011	10721.46987
701000	9004	4997	2997	2000	-43390.80658	12455.46175	7458.104823	4997.356929	4.985175806	1.958772486	10794.34366
702000	9004	4997	2997	2000	-43219.55108	12067.58182	7215.455271	4852.126552	4.829930688	2.08679517	10771.28756
703000	9004	4997	2997	2000	-43563.44575	12530.93572	7604.170476	4926.765244	5.015383518	2.415217371	10663.80147
704000	9004	4997	2997	2000	-43530.45822	12372.15271	7360.984471	5011.16824	4.951832184	2.136426165	10685.55107
705000	9004	4997	2997	2000	-43617.19643	12372.39654	7482.220584	4890.175957	4.951929774	2.385205733	10692.40929
706000	9004	4997	2997	2000	-43953.4135	12653.37855	7779.664651	4873.713903	5.064390056	1.928245152	10694.58544
707000	9004	4997	2997	2000	-43846.09988	12491.16876	7663.609955	4827.55881	4.999467186	2.375016448	10695.11249
